id,role,preapproved,mortgage,budget,timeframe,location,agent_before,utterance,,,,
buyer_027,buyer,no,,$60.00,000-$80,0,>6 months,Outskirts,no,"Low budget, saving for down payment; not pre-approved; timeline > 6 months.",,
buyer_028,buyer,yes,,$980000.00,1-3 months,Riverside,no,Pre-approved for high mortgage; looking for modern family home near parks; timeline ~2 months.,,,,
buyer_029,buyer,no,,$310000.00,3-6 months,Midtown,no,No preapproval; budget about $310k; prefer Midtown or nearby.,,,,
buyer_030,buyer,yes,,$430000.00,less than 1 month,Downtown,no,Yes pre-approved; relocating and need to buy quickly; 2–4 week timeframe.,,,,
buyer_031,buyer,prequalified,,$340000.00,1-3 months,Northside,no,Prequalified; prefer quiet neighborhoods; budget ~$340k; 1–3 months.,,,,
buyer_032,buyer,no,,$500000.00,>6 months,Uptown,no,No preapproval; want a loft around $500k; timeline flexible (6+ months).,,,,
buyer_033,buyer,yes,,$220000.00,3-6 months,Maplewood,yes,"Pre-approved, worked with an agent before; looking for 3BR for under $220k.",,,,
buyer_034,buyer,pending,,$650000.00,1-3 months,Lakeview,no,"Pending preapproval, interested in $650k family homes, need to move within a couple months.",,,,
buyer_035,buyer,no,,$140000.00,>6 months,Suburbs,no,Not preapproved; budget ~140k; first home purchase but timeline >6 months.,,,,
buyer_036,buyer,yes,,$305000.00,3-6 months,Brookfield,no,Yes pre-approved; budget $305k; want yard and garage; 3–6 months.,,,,
buyer_037,buyer,prequalified,,$275000.00,1-3 months,Oldtown,yes,"Prequalified, prefer historic homes; have worked with an agent previously.",,,,
buyer_038,buyer,no,,$420000.00,1-3 months,Riverside,no,No preapproval — looking for $420k houses near the river; timeline ~2 months.,,,,
buyer_039,buyer,yes,,$110000-$160000,>6 months,Outskirts,no,Pre-approved but small budget; plan to renovate; timeline > 6 months.,,,,
buyer_040,buyer,yes,,$780000.00,1-3 months,Uptown,yes,Yes pre-approved; relocating for work; prefer upscale neighborhood; agent already contacted.,,,,
buyer_041,buyer,no,,$250000.00,3-6 months,Midtown,no,"No pre-approval yet, budget $250k, want a place near transit in 3–6 months.",,,,
buyer_042,buyer,prequalified,,$360000.00,1-3 months,Northside,no,Prequalified and ready to view homes; budget ~$360k; timeline 1–3 months.,,,,
buyer_043,buyer,yes,,$95.00,000-$130,0,>6 months,Suburbs,no,"Pre-approved for a small mortgage, seeking affordable single-level home; timeline a bit flexible.",,
buyer_044,buyer,no,,$600000.00,1-3 months,Lakeview,no,Not pre-approved; budget $600k; need waterfront access; hoping to move in ~2 months.,,,,
buyer_045,buyer,pending,,$470000.00,3-6 months,Maplewood,no,Preapproval application submitted; budget around $470k; 3–6 months to move.,,,,
buyer_046,buyer,yes,,$330000.00,1-3 months,Brookfield,no,Pre-approved FHA; interested in Brookfield schools; timeline 1–3 months.,,,,
buyer_047,buyer,no,,$210000.00,>6 months,Outskirts,no,Saving for down payment and not pre-approved; looking at $210k range; timeline >6 months.,,,,
buyer_048,buyer,yes,,$560000.00,1-3 months,Oldtown,yes,Pre-approved; worked with an agent previously; want character home under $560k.,,,,
buyer_049,buyer,prequalified,,$425000.00,3-6 months,Midtown,no,"Prequalified, want condo in Midtown, move in 3–6 months.",,,,
buyer_050,buyer,no,,$145000.00,>6 months,Suburbs,no,No preapproval; modest budget (~$145k); timeline more than six months.,,,,
seller_001,seller,,yes,$350000-$500000,1-3 months,Downtown,no,Selling because of job relocation; need to sell within a couple months; mortgage balance remains.,,,,
seller_002,seller,,no,$200000-$300000,3-6 months,Maplewood,yes,Downsizing after kids moved out; not in a rush but want to sell in 3–6 months; no mortgage.,,,,
seller_003,seller,,yes,$450000.00,less than 1 month,Oak Hill,no,Urgent sale due to financial reasons; need to list and sell ASAP; still have mortgage.,,,,
seller_004,seller,,no,$600000.00,1-3 months,Lakeview,yes,Selling to upsize; house staged and ready; no mortgage; prefer agent who can market well.,,,,
seller_005,seller,,yes,$275000.00,>6 months,Suburbs,no,Inherited property; looking to sell but timeline flexible (>6 months); mortgage to pay off.,,,,
seller_006,seller,,no,$1.00,100,0,1-3 months,Uptown,yes,"Relocating overseas, want to sell quickly, home professionally staged and photographed.",,
seller_007,seller,,yes,$320000.00,3-6 months,Brookfield,no,Need to sell for divorce settlement; ideally within 3–6 months; mortgage still on property.,,,,
seller_008,seller,,no,$150000.00,>6 months,Outskirts,no,Selling a rental property; not urgent; will sell within the year; no active mortgage.,,,,
seller_009,seller,,yes,$900000.00,1-3 months,Riverside,yes,Job transfer out of state; want to sell quickly and already working with an agent.,,,,
seller_010,seller,,no,$400000.00,3-6 months,Midtown,no,Moving to be closer to family; timeline 3–6 months; no mortgage and house is tenant-free.,,,,
seller_011,seller,,yes,$220000.00,less than 1 month,Oldtown,no,Facing foreclosure risk and need fast sale; mortgage negative equity issue.,,,,
seller_012,seller,,no,$520000.00,1-3 months,Northside,yes,"Relocating for work, already have an agent, home is ready to list and staged.",,,,
seller_013,seller,,yes,$330000.00,>6 months,Maplewood,no,Selling because of maintenance fatigue; timeline flexible (>6 months); still paying mortgage.,,,,
seller_014,seller,,no,$280000.00,3-6 months,Suburbs,no,Upsizing so selling current smaller home; want good offers in 3–6 months; mortgage paid off.,,,,
seller_015,seller,,yes,$480000.00,1-3 months,Downtown,yes,Job promotion forces relocation; need to sell quickly; mortgage exists but manageable.,,,,
seller_016,seller,,no,$350000.00,>6 months,Brookfield,no,Selling an investment property; timeline depends on market; no mortgage on the property.,,,,
seller_017,seller,,yes,$625000.00,1-3 months,Uptown,no,Health reasons require move to single-level home; need sale in ~2 months; mortgage present.,,,,
seller_018,seller,,no,$195000.00,3-6 months,Outskirts,no,Relocating within city; timeline 3–6 months; house clean but not staged; mortgage paid off.,,,,
seller_019,seller,,yes,$430000.00,less than 1 month,Riverside,no,Job loss; need to sell fast; mortgage balance significant.,,,,
seller_020,seller,,no,$260000.00,3-6 months,Midtown,yes,Selling because of commute; already have agent and photos taken.,,,,
seller_021,seller,,yes,$1.00,250,0,1-3 months,Uptown,yes,"Corporate relocation; want quick sale, will consider concessions; mortgage in good standing.",,
seller_022,seller,,no,$310000.00,>6 months,Maplewood,no,"Retiring and moving to a different state; timeline flexible, no mortgage.",,,,
seller_023,seller,,yes,$205000.00,3-6 months,Suburbs,no,"Selling due to family reasons; mortgage exists but manageable, hoping for a 3–6 month sale.",,,,
seller_024,seller,,no,$470000.00,1-3 months,Downtown,no,Selling because we found a new build; want to move within a couple months; no mortgage.,,,,
seller_025,seller,,yes,$390000.00,>6 months,Brookfield,no,Upsizing later; current house on market but not urgent; mortgage attached.,,,,
seller_026,seller,,no,$140000.00,3-6 months,Outskirts,no,Selling small family home; timeline 3–6 months; mortgage already paid off.,,,,
seller_027,seller,,yes,$820000.00,1-3 months,Riverside,yes,Relocating for education; have an agent and staged home; mortgage in place.,,,,
seller_028,seller,,no,$270000.00,>6 months,Midtown,no,Selling because of remodel plans elsewhere; not urgent; mortgage free and clear.,,,,
seller_029,seller,,yes,$360000.00,less than 1 month,Oldtown,no,Emergency relocation; need a rapid sale this month; mortgage still due.,,,,
seller_030,seller,,no,$510000.00,3-6 months,Northside,yes,Job change; agent lined up; want to sell in next few months; no mortgage.,,,,
seller_031,seller,,yes,$295000.00,1-3 months,Maplewood,no,Financial restructuring — need to free up cash in 1–3 months; mortgage still exists.,,,,
seller_032,seller,,no,$130000.00,>6 months,Outskirts,no,Selling a vacation cottage; timeline flexible; no mortgage.,,,,
seller_033,seller,,yes,$455000.00,3-6 months,Downtown,yes,Selling due to family expansion; house partly staged; mortgage present.,,,,
seller_034,seller,,no,$205000.00,>6 months,Brookfield,no,Want to test market value first; flexible timeline; mortgage paid off long ago.,,,,
seller_035,seller,,yes,$680000.00,1-3 months,Uptown,no,Relocation for work — must sell quickly; mortgage still active.,,,,
seller_036,seller,,no,$340000.00,3-6 months,Midtown,yes,Selling to move closer to parents; agent contracted and photos taken.,,,,
seller_037,seller,,yes,$150000.00,>6 months,Outskirts,no,Selling due to age and downsizing; have mortgage but plan to pay it off with sale.,,,,
seller_038,seller,,no,$590000.00,1-3 months,Riverside,yes,Job transfer overseas; want to list and sell in 1–3 months; agent ready.,,,,
seller_039,seller,,yes,$385000.00,3-6 months,Northside,no,"Selling after divorce settlement; timeline 3–6 months, mortgage on title.",,,,
seller_040,seller,,no,$225000.00,>6 months,Maplewood,no,Selling because of HOA issues; timeline flexible; mortgage paid off.,,,,
seller_041,seller,,yes,$710000.00,1-3 months,Uptown,yes,Relocating to different state; need a quick sale; mortgage remains.,,,,
seller_042,seller,,no,$160000.00,3-6 months,Suburbs,no,Selling rental unit; want to list in next few months; no mortgage.,,,,
seller_043,seller,,yes,$265000.00,>6 months,Downtown,no,Seller is downsizing slowly; mortgage on property but manageable.,,,,
seller_044,seller,,no,$495000.00,1-3 months,Brookfield,yes,Leaving city for quieter life; agent engaged and ready to show.,,,,
seller_045,seller,,yes,$375000.00,3-6 months,Oldtown,no,Selling because of job relocation; mortgage outstanding but not a blocker.,,,,
seller_046,seller,,no,$230000.00,>6 months,Outskirts,no,Selling a family heirloom property; timeline flexible; mortgage free.,,,,
seller_047,seller,,yes,$840000.00,1-3 months,Riverside,yes,Corporate relocation; looking to sell quickly and have professional photos.,,,,
seller_048,seller,,no,$290000.00,3-6 months,Midtown,no,Seller moving to rental temporarily; timeline 3–6 months; no mortgage.,,,,
seller_049,seller,,yes,$410000.00,>6 months,Maplewood,no,Selling for retirement planning; mortgage will be paid from proceeds.,,,,
seller_050,seller,,no,$180000.00,1-3 months,Suburbs,yes,Job change within region; agent hired and open houses planned for next month.,,,,
